gamma,alpha_star
0.5,0.4871305410627746
0.7368421052631579,0.3318175585785401
0.9736842105263157,0.25159949617371413
1.2105263157894737,0.2026162940978418
1.4473684210526314,0.16959777727882652
1.6842105263157894,0.14583275274887947
1.9210526315789473,0.12790935220892324
2.1578947368421053,0.11390944743341722
2.394736842105263,0.102671833686533
2.631578947368421,0.09345238898865618
2.8684210526315788,0.085752243413365
3.1052631578947367,0.07922443112930128
3.3421052631578947,0.07362016257077869
3.5789473684210527,0.06875639401264814
3.81578947368421,0.06449545572172743
4.052631578947368,0.06073181292343174
4.289473684210526,0.05738320657947798
4.526315789473684,0.054384571867263344
4.763157894736842,0.051683768752924665
5.0,0.049238524526121444
